12	GLL243		12.70		53.04		15.29		1689.90
12	JCX224		14.41		38.42		13.74		313.11
12	CQE326		13.20		89.15		26.97		1085.68
12	EYE403		8.37		71.44		35.71		1089.02
12	KHF080		7.43		56.63		24.43		696.88
13	EYW157		9.92		50.31		7.37		844.88
13	CUE766		9.77		46.52		5.78		1781.30
13	GLL243		5.44		63.69		21.68		375.61
13	JCX224		11.70		89.36		33.51		1967.69
13	CQE326		12.29		70.47		20.00		53.67
13	EYE403		7.35		56.08		37.71		1482.44
13	KHF080		14.91		89.43		7.33		707.63
14	EYW157		10.20		76.30		14.38		669.73
14	CUE766		12.20		66.30		38.44		1763.87
14	GLL243		11.12		34.26		33.41		745.52
14	JCX224		6.20		78.39		13.92		632.87
14	CQE326		7.63		62.14		17.58		1815.56
14	EYE403		11.90		36.70		27.02		1299.03
14	KHF080		14.39		50.92		33.39		146.34
15	EYW157		8.44		85.55		13.44		273.39
15	CUE766		14.96		38.75		1.72		611.25
15	GLL243		11.46		79.64		29.97		1651.64
15	JCX224		14.84		36.80		37.43		528.83
15	CQE326		6.74		58.68		30.97		1574.15
15	EYE403		5.69		72.63		13.81		615.86
15	KHF080		5.06		39.55		39.80		1791.33
16	EYW157		10.84		31.04		28.91		1263.87
16	CUE766		8.37		85.83		13.05		591.51
16	GLL243		12.07		72.44		18.71		59.37
16	JCX224		7.17		54.95		21.68		893.59
16	CQE326		7.61		68.69		38.23		498.04
16	EYE403		9.10		42.80		8.05		1672.41
16	KHF080		11.39		36.48		1.44		52.15
17	EYW157		8.88		85.83		15.80		578.81
17	CUE766		13.55		68.18		11.14		1372.40
17	GLL243		9.39		80.68		34.59		1782.88
17	JCX224		12.21		60.20		30.60		853.08
17	CQE326		14.09		41.24		5.77		1180.85
17	EYE403		6.44		78.84		28.16		331.09
17	KHF080		10.65		33.32		27.86		706.59
18	EYW157		10.58		43.69		9.70		128.73
18	CUE766		5.80		86.73		20.96		1995.81
18	GLL243		9.70		48.43		16.92		1300.31
18	JCX224		11.51		84.87		20.02		1294.30
18	CQE326		6.36		59.22		13.58		1162.14
18	EYE403		12.33		51.88		4.92		1530.60
18	KHF080		8.64		70.56		10.55		16.80
19	EYW157		14.05		57.22		8.56		1751.67
19	CUE766		9.40		58.67		39.76		1161.05
19	GLL243		13.57		37.80		34.70		1732.23
19	JCX224		6.74		32.28		16.05		196.87
19	CQE326		10.06		77.56		19.71		1858.74
19	EYE403		5.83		61.08		32.83		1457.30
19	KHF080		7.28		64.62		33.26		275.88
20	EYW157		11.85		41.52		38.69		1845.01
20	CUE766		7.28		45.84		15.78		1228.28
20	GLL243		14.30		40.16		25.80		1785.19
20	JCX224		5.25		78.99		27.86		764.29
20	CQE326		12.47		74.60		28.32		1502.42
20	EYE403		5.67		62.29		36.54		1544.94
20	KHF080		12.23		51.75		8.50		530.29
21	EYW157		9.65		81.58		18.40		1035.82
21	CUE766		14.00		43.75		20.83		456.20
21	GLL243		13.63		74.90		28.62		843.36
21	JCX224		12.06		61.32		29.95		948.37
21	CQE326		9.21		74.60		1.81		1373.92
21	EYE403		14.99		44.61		6.47		1007.95
21	KHF080		14.29		66.95		25.85		1717.60
22	EYW157		7.49		71.54		27.70		1463.92
22	CUE766		5.48		69.26		35.43		775.28
22	GLL243		13.36		63.69		32.22		752.20
22	JCX224		11.71		64.49		17.65		1619.52
22	CQE326		9.75		69.66		8.28		1888.80
22	EYE403		9.12		33.32		27.36		1179.03
22	KHF080		12.70		45.92		31.20		785.67
23	EYW157		7.19		83.83		12.42		1067.46
23	CUE766		13.84		35.15		32.51		1681.52
23	GLL243		6.11		78.54		33.88		1745.17
23	JCX224		8.48		82.12		3.04		1975.59
23	CQE326		5.45		79.08		22.91		1905.38
23	EYE403		14.78		67.07		5.88		195.41
23	KHF080		14.00		48.22		10.78		1093.52
24	EYW157		14.32		56.52		38.21		1228.64
24	CUE766		10.94		69.58		12.55		1581.07
24	GLL243		13.84		31.66		14.97		907.80
24	JCX224		8.19		64.67		32.76		1532.36
24	CQE326		8.24		74.22		30.46		1689.78
24	EYE403		14.06		87.50		36.90		1355.45
24	KHF080		14.84		49.81		39.78		1718.39
